Popularity,Song,URL,Year
0,My Love,http://www.metrolyrics.com/my-love-lyrics-mariah-carey.html,2009
0,My Saving Grace,http://www.metrolyrics.com/my-saving-grace-lyrics-mariah-carey.html,2006
1,Never Forget You,http://www.metrolyrics.com/never-forget-you-lyrics-mariah-carey.html,2006
3,Never Too Far,http://www.metrolyrics.com/never-too-far-lyrics-mariah-carey.html,2006
1,Now That I Know,http://www.metrolyrics.com/now-that-i-know-lyrics-mariah-carey.html,2006
5,O Holy Night,http://www.metrolyrics.com/o-holy-night-lyrics-mariah-carey.html,2010
1,O.O.C.,http://www.metrolyrics.com/ooc-lyrics-mariah-carey.html,2008
6,Obsessed,http://www.metrolyrics.com/obsessed-lyrics-mariah-carey.html,2009
0,Obsessed (Remix),http://www.metrolyrics.com/obsessed-remix-lyrics-mariah-carey.html,2009
0,Oh Santa!,http://www.metrolyrics.com/oh-santa-lyrics-mariah-carey.html,2010
0,One And Only,http://www.metrolyrics.com/one-and-only-lyrics-mariah-carey.html,2005
0,One Child,http://www.metrolyrics.com/one-child-lyrics-mariah-carey.html,2010
0,One Mo' Gen,http://www.metrolyrics.com/one-mo-gen-lyrics-mariah-carey.html,2018
1,One More Try,http://www.metrolyrics.com/one-more-try-lyrics-mariah-carey.html,2014
6,One Sweet Day,http://www.metrolyrics.com/one-sweet-day-lyrics-mariah-carey.html,2009
3,One Sweet Day (with Boyz Ii Men),http://www.metrolyrics.com/one-sweet-day-with-boyz-ii-men-lyrics-mariah-carey.html,2006
2,Open Arms,http://www.metrolyrics.com/open-arms-lyrics-mariah-carey.html,2006
0,Outside,http://www.metrolyrics.com/outside-lyrics-mariah-carey.html,2006
0,Petals,http://www.metrolyrics.com/petals-lyrics-mariah-carey.html,2006
0,Portrait,http://www.metrolyrics.com/portrait-lyrics-mariah-carey.html,2018
0,Prisoner,http://www.metrolyrics.com/prisoner-lyrics-mariah-carey.html,2006
1,Reflections,http://www.metrolyrics.com/reflections-lyrics-mariah-carey.html,2009
0,Reflections (care Enough),http://www.metrolyrics.com/reflections-care-enough-lyrics-mariah-carey.html,2006
1,Ribbon,http://www.metrolyrics.com/ribbon-lyrics-mariah-carey.html,2009
0,Santa Claus Is Comin' To Town,http://www.metrolyrics.com/santa-claus-is-comin-to-town-lyrics-mariah-carey.html,2006
0,Santa Claus is Coming to Town,http://www.metrolyrics.com/santa-claus-is-coming-to-town-lyrics-mariah-carey.html,2010
0,Say Somethin',http://www.metrolyrics.com/say-somethin-lyrics-mariah-carey.html,2005
2,Say Something,http://www.metrolyrics.com/say-something-lyrics-mariah-carey.html,2006
1,Secret Love,http://www.metrolyrics.com/secret-love-lyrics-mariah-carey.html,2007
0,Sent From Up Above,http://www.metrolyrics.com/sent-from-up-above-lyrics-mariah-carey.html,2006
6,Shake It Off,http://www.metrolyrics.com/shake-it-off-lyrics-mariah-carey.html,2005
2,Side Effects,http://www.metrolyrics.com/side-effects-lyrics-mariah-carey.html,2008
0,Silent Night,http://www.metrolyrics.com/silent-night-lyrics-mariah-carey.html,2006
0,Slipping Away,http://www.metrolyrics.com/slipping-away-lyrics-mariah-carey.html,2006
1,So Blessed,http://www.metrolyrics.com/so-blessed-lyrics-mariah-carey.html,2006
2,Someday,http://www.metrolyrics.com/someday-lyrics-mariah-carey.html,2006
0,Sprung,http://www.metrolyrics.com/sprung-lyrics-mariah-carey.html,2006
0,Standing O's,http://www.metrolyrics.com/standing-os-lyrics-mariah-carey.html,2009
0,Stay Long Love You,http://www.metrolyrics.com/stay-long-love-you-lyrics-mariah-carey.html,2018
0,Stay The Night,http://www.metrolyrics.com/stay-the-night-lyrics-mariah-carey.html,2005
0,Subtle Invitation,http://www.metrolyrics.com/subtle-invitation-lyrics-mariah-carey.html,2006
0,Sunflowers (For Alfred Carey),http://www.metrolyrics.com/sunflowers-for-alfred-carey-lyrics-mariah-carey.html,2006
0,Supernatural,http://www.metrolyrics.com/supernatural-lyrics-mariah-carey.html,2014
2,Sweetheart,http://www.metrolyrics.com/sweetheart-lyrics-mariah-carey.html,2006
5,Thank God I Found You,http://www.metrolyrics.com/thank-god-i-found-you-lyrics-mariah-carey.html,2012
1,Thank God I Found You (remix),http://www.metrolyrics.com/thank-god-i-found-you-remix-lyrics-mariah-carey.html,2006
0,Thanx 4 Nothin',http://www.metrolyrics.com/thanx-4-nothin-lyrics-mariah-carey.html,2008
0,That Chick,http://www.metrolyrics.com/that-chick-lyrics-mariah-carey.html,2008
3,The Art of Letting Go,http://www.metrolyrics.com/the-art-of-letting-go-lyrics-mariah-carey.html,2013
2,The Beautiful Ones,http://www.metrolyrics.com/the-beautiful-ones-lyrics-mariah-carey.html,2006
0,The Distance,http://www.metrolyrics.com/the-distance-lyrics-mariah-carey.html,2018
0,The One,http://www.metrolyrics.com/the-one-lyrics-mariah-carey.html,2006
2,The Roof,http://www.metrolyrics.com/the-roof-lyrics-mariah-carey.html,2009
0,The Star,http://www.metrolyrics.com/the-star-lyrics-mariah-carey.html,2017
1,The Wind,http://www.metrolyrics.com/the-wind-lyrics-mariah-carey.html,2006
0,There For Me,http://www.metrolyrics.com/there-for-me-lyrics-mariah-carey.html,2006
0,There Goes My Heart,http://www.metrolyrics.com/there-goes-my-heart-lyrics-mariah-carey.html,2007
1,There's Got to Be a Way,http://www.metrolyrics.com/theres-got-to-be-a-way-lyrics-mariah-carey.html,2006
0,Thirsty,http://www.metrolyrics.com/thirsty-lyrics-mariah-carey.html,2014
5,Through The Rain,http://www.metrolyrics.com/through-the-rain-lyrics-mariah-carey.html,2006
0,Through The Rain Remix,http://www.metrolyrics.com/through-the-rain-remix-lyrics-mariah-carey.html,2007
4,Till The End Of Time,http://www.metrolyrics.com/till-the-end-of-time-lyrics-mariah-carey.html,2006
0,To Be Around You,http://www.metrolyrics.com/to-be-around-you-lyrics-mariah-carey.html,2006
